Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,r5
20182033,2022:02:24,목,11:11:06 AM,version=0.1,Test,0,3,10,5,0.005458488,178.8651,0.006374576,178.8651,0.004557581,178.8651,0.06456771,2.632844,0.08994812,2.632844
20182033,2022:02:24,목,11:14:12 AM,version=0.1,Test,0,3,10,5,0.007282692,176.6007,0.006223259,176.6007,0.008665029,176.6007,0.06314967,4.709023,0.09207612,4.709023
20182033,2022:02:24,목,11:15:31 AM,version=0.1,Test,0,3,10,5,0.01208472,178.7709,0.01122138,178.7709,0.01300012,178.7709,0.0616453,2.513571,0.09187719,2.513571
20182033,2022:02:24,목,11:16:51 AM,version=0.1,Test,0,3,10,5,0.004261648,176.6941,0.002950477,176.6941,0.006029768,176.6941,0.06476553,4.535312,0.09033655,4.535312
20215578,2022:02:24,목,12:14:50 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20215578,2022:02:24,목,12:25:00 PM,version=0.1,Test,0,3,10,5,0.004571746,177.4833,0.006788232,177.4833,0.003004871,177.4833,0.07489838,1.461257,0.07765611,1.461257
20215578,2022:02:24,목,12:25:55 PM,version=0.1,Test,0,3,10,5,0.003130378,179.0309,0.002693071,179.0309,0.003870321,179.0309,0.06563583,2.365296,0.08620396,2.365296
20215578,2022:02:24,목,12:26:40 PM,version=0.1,Test,0,3,10,5,0.005797035,178.1755,0.005056953,178.1755,0.006553578,178.1755,0.0615409,3.301026,0.09229187,3.301026
20215578,2022:02:24,목,12:27:26 PM,version=0.1,Test,0,3,10,5,0.005504615,178.5986,0.004785031,178.5986,0.006257798,178.5986,0.06540371,2.451042,0.07911514,2.451042
20215578,2022:02:24,목,12:28:04 PM,version=0.1,Test,0,3,10,5,0.003194857,179.3823,0.003034136,179.3823,0.003368529,179.3823,0.07205578,1.007165,0.07987147,1.007165
20192017,2022:02:24,목,12:53:46 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20192017,2022:02:24,목,12:58:41 PM,version=0.1,Test,0,3,10,5,0.00533343,175.5728,0.00510099,175.5728,0.006152455,175.5728,0.05464457,5.759222,0.09549873,5.759222
20192017,2022:02:24,목,12:59:22 PM,version=0.1,Test,0,3,10,5,0.00157874,177.8584,0.002372659,177.8584,0.001107455,177.8584,0.05940131,3.639918,0.0947911,3.639918
20192017,2022:02:24,목,1:00:02 PM,version=0.1,Test,0,3,10,5,0.004228952,178.1971,0.005187071,178.1971,0.004070863,178.1971,0.05758174,2.839108,0.08977161,2.839108
20192017,2022:02:24,목,1:00:38 PM,version=0.1,Test,0,3,10,5,0.006719406,177.97,0.006639292,177.97,0.007033736,177.97,0.07001253,2.955388,0.08132685,2.955388
20192017,2022:02:24,목,1:01:12 PM,version=0.1,Test,0,3,10,5,0.005971388,176.465,0.006309845,176.465,0.005726589,176.465,0.05094303,5.013916,0.09631339,5.013916
20192001,2022:02:24,목,2:19:35 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20192001,2022:02:24,목,2:25:58 PM,version=0.1,Test,0,3,10,5,0.00507778,177.998,0.005244968,177.998,0.00504417,177.998,0.05392845,3.499391,0.08913974,3.499391
20192001,2022:02:24,목,2:26:41 PM,version=0.1,Test,0,3,10,5,0.003589632,178.8238,0.003476186,178.8238,0.003856083,178.8238,0.07229838,1.65753,0.0777285,1.65753
20192001,2022:02:24,목,2:27:19 PM,version=0.1,Test,0,3,10,5,0.000819084,177.222,0.003049731,177.222,0.001479874,177.222,0.06009319,4.272464,0.09794385,4.272464
20192001,2022:02:24,목,2:28:45 PM,version=0.1,Test,0,3,10,5,0.003149675,178.9726,0.003947338,178.9726,0.002401957,178.9726,0.06398162,1.610948,0.08182167,1.610948
20192001,2022:02:24,목,2:29:26 PM,version=0.1,Test,0,3,10,5,0.001498931,178.686,0.001974528,178.686,0.001445042,178.686,0.06857555,1.34523,0.08238203,1.34523
20182033,2022:02:25,금,11:56:14 AM,version=0.1,Test,,Start,,,,,,,,,,,,
20182033,2022:02:25,금,11:58:31 AM,version=0.1,Test,0,3,10,5,0.003891847,178.27,0.003945961,178.27,0.003839917,178.27,0.06098239,3.22883,0.0926509,3.22883
20182033,2022:02:25,금,12:00:27 PM,version=0.1,Test,0,3,10,5,0.004699586,177.5718,0.005186581,177.5718,0.004739269,177.5718,0.05646471,3.1741,0.09117266,3.1741
20182033,2022:02:25,금,12:03:43 PM,version=0.1,Test,0,3,10,5,0.004675908,177.829,0.004640155,177.829,0.004728284,177.829,0.05880187,3.669331,0.09496949,3.669331
20182033,2022:02:25,금,12:05:01 PM,version=0.1,Test,0,3,10,5,0.006470085,178.1492,0.006349505,178.1492,0.006611763,178.1492,0.06121841,3.304464,0.08980834,3.304464
20182033,2022:02:25,금,12:06:31 PM,version=0.1,Test,0,3,10,5,0.00299301,178.7559,0.001827669,178.7559,0.004877042,178.7559,0.0649908,2.057569,0.08873791,2.057569
20182033,2022:02:25,금,12:08:51 PM,version=0.1,Test,0,3,10,5,0.005121243,177.8671,0.006107111,177.8671,0.004422418,177.8671,0.06010257,2.677299,0.0877832,2.677299
20215578,2022:02:25,금,1:14:09 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20215578,2022:02:25,금,1:27:45 PM,version=0.1,Test,0,3,10,5,0.007022513,178.5168,0.006657106,178.5168,0.007447926,178.5168,0.06538675,2.859102,0.08881148,2.859102
20215578,2022:02:25,금,1:28:33 PM,version=0.1,Test,0,3,10,5,0.005979796,177.1593,0.00648779,177.1593,0.005626506,177.1593,0.07822912,1.362,0.0664253,1.362
20215578,2022:02:25,금,1:29:17 PM,version=0.1,Test,0,3,10,5,0.007932976,179.5019,0.007687819,179.5019,0.008194559,179.5019,0.06207773,1.984654,0.08048697,1.984654
