Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,t5,r6,t6,r7,t7,r8,t8,r9,t9,r10,t10
20192017,2022:02:24,목,12:52:22 PM,version=0.1,Test,0,11,22,10,0.001701497,179.1891,0.000614166,179.8493,0.000614344,178.5718,0.001762387,177.8783,0.000383468,178.9161,0.001367186,178.2258,0.003938468,179.7451,0.001016889,178.2397,0.003121746,178.2746,0.001601978,178.6854
20192017,2022:02:24,목,12:53:45 PM,version=0.1,Test,0,7,14,6,0.002991609,178.5005,0.001479043,178.8726,0.003231205,179.9515,0.003497931,179.7053,0.005491935,179.486,0.002419147,173.5331,,,,,,,,
20192001,2022:02:24,목,1:52:56 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20192001,2022:02:24,목,2:11:12 PM,version=0.1,Test,0,11,22,10,0.000611015,178.754,0.000249319,179.8546,0.000117193,179.7842,0.000331286,178.1872,0.000694856,179.702,0.000171857,178.401,0.000602984,179.0319,0.000303771,178.8564,0.000511184,178.978,0.000275253,178.1614
20192001,2022:02:24,목,2:13:04 PM,version=0.1,Test,0,11,22,10,0.000422558,179.526,0.000202696,179.2961,0.000589283,178.983,0.000434237,177.6845,0.000675583,178.7462,0.000335096,177.9534,0.000242074,179.0652,0.000517112,179.0051,0.000544796,179.6655,0.000261235,178.0036
20192001,2022:02:24,목,2:15:31 PM,version=0.1,Test,0,11,22,10,0.0002067,178.3059,0.000642534,179.2275,0.000524984,178.8541,0.000191485,178.889,0.000517004,178.3542,0.000337279,176.9778,0.000777341,179.0725,0.000724641,178.943,0.000670088,179.0527,0.000773751,178.8185
20192001,2022:02:24,목,2:17:25 PM,version=0.1,Test,0,11,22,10,0.000519663,178.6935,0.000173574,177.498,0.00059286,179.4019,0.00098813,179.6756,0.000801122,178.5513,0.000654106,179.7188,0.000263022,179.1593,0.000348349,178.6637,0.001140286,179.2285,0.000242617,179.2207
20192001,2022:02:24,목,2:19:33 PM,version=0.1,Test,0,11,22,10,0.000424734,178.1455,0.000656337,176.5562,0.000728777,178.7182,0.000190437,178.3824,0.000146512,179.0902,0.000380549,176.6702,0.00020247,179.186,0.000328142,177.7338,0.000525688,179.1656,0.000336957,178.9553
20182033,2022:02:25,금,11:11:11 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20182033,2022:02:25,금,11:39:52 AM,version=0.1,Test,0,11,22,10,0.000642997,177.8269,0.000253291,177.5321,0.000194952,178.892,0.000548508,176.8935,0.000766634,176.3783,0.000921704,177.5408,0.000427287,177.2559,0.000881237,178.1934,0.000998035,177.5365,0.001014357,179.3265
