Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,t5,r6,t6
20202033,2022:03:07,월,1:32:29 PM,version=0.1,Test,0,7,14,6,0.000824673,179.5785,0.000255367,179.2769,0.000896708,179.3763,0.002286372,179.2574,0.000694413,179.8062,0.002361885,176.6577
20202033,2022:03:07,월,1:33:59 PM,version=0.1,Test,0,7,14,6,0.002437525,178.9026,0.001411317,176.8458,0.000750075,179.9072,0.003442792,179.9051,0.00217185,179.5698,0.002667626,175.9406
20202033,2022:03:07,월,1:36:03 PM,version=0.1,Test,0,7,14,6,0.000861022,179.531,0.000972865,179.0838,0.001197235,178.0164,0.000727198,179.5734,0.001172683,179.8455,0.002969725,179.8972
20202016,2022:03:07,월,3:15:29 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20202016,2022:03:07,월,3:37:27 PM,version=0.1,Test,0,7,14,6,0.001233301,178.5957,0.00073927,179.5269,0.001796794,179.7537,0.001025007,177.562,0.002295217,179.9115,0.000775796,179.1579
20202016,2022:03:07,월,3:40:30 PM,version=0.1,Test,0,7,14,6,0.001481613,179.0552,0.000998714,178.2514,0.00166677,178.7993,0.000243693,178.6828,0.002161879,179.0558,0.000297768,179.8455
20202016,2022:03:07,월,3:42:56 PM,version=0.1,Test,0,7,14,6,0.000839928,175.2642,0.002599187,178.2755,0.000591404,179.3365,0.001242358,176.854,0.000266339,179.7,0.000403346,179.0234
20192014,2022:03:08,화,11:01:30 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20192014,2022:03:08,화,11:13:52 AM,version=0.1,Test,0,7,14,6,0.000774251,177.2325,0.000862333,178.7111,0.000543135,179.0604,0.000564889,178.9573,0.000276017,179.8298,0.000944524,177.671
20192014,2022:03:08,화,11:15:13 AM,version=0.1,Test,0,7,14,6,0.000352366,177.2635,0.000627777,178.006,0.000656861,179.7026,0.000317302,177.5357,0.000424457,178.1502,0.000340861,174.8694
20192014,2022:03:08,화,11:16:45 AM,version=0.1,Test,0,7,14,6,0.000735735,178.1284,0.000537113,177.8078,0.001163428,178.0387,0.000905616,177.5918,0.000813807,179.3113,0.000633193,176.9787
20202033,2022:03:08,화,12:28:05 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20202033,2022:03:08,화,12:41:14 PM,version=0.1,Test,0,7,14,6,0.000489648,179.3344,0.000490247,177.6217,0.001150885,178.4819,0.000377304,177.5807,0.001364422,179.1661,0.000715163,177.1158
20202033,2022:03:08,화,12:42:42 PM,version=0.1,Test,0,7,14,6,0.000332761,179.4692,0.001289088,176.263,0.000776308,178.2426,0.000358742,179.5298,0.002747199,178.8964,0.000535629,179.1765
20202033,2022:03:08,화,12:44:08 PM,version=0.1,Test,0,7,14,6,0.00103291,179.7436,0.000497644,177.1486,0.000480924,178.3204,0.001235916,179.2596,0.001398418,179.5437,0.000446817,179.8899
20182032,2022:03:08,화,1:05:25 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20182032,2022:03:08,화,1:48:57 PM,version=0.1,Test,0,7,14,6,0.000581665,178.0732,0.000636051,177.5921,0.000263611,178.9782,0.000283987,178.344,0.000735612,179.7643,0.001022475,179.3233
20182032,2022:03:08,화,1:51:56 PM,version=0.1,Test,0,7,14,6,0.000819859,178.9683,0.000599892,178.6114,0.000846595,177.5413,0.000383985,178.4783,0.00032328,178.4471,8.12E-05,178.2902
20182032,2022:03:08,화,1:55:57 PM,version=0.1,Test,0,7,14,6,0.000500468,179.1933,0.00062381,178.8541,0.005616978,179.1974,0.001179382,178.3544,0.000582403,179.9315,0.000371163,179.7266
20202016,2022:03:08,화,2:13:39 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20202016,2022:03:08,화,2:23:14 PM,version=0.1,Test,0,7,14,6,0.00149182,178.8175,0.002213245,177.1793,0.00169602,179.0704,0.001510129,177.3049,0.001504763,179.4785,0.000323451,179.9315
