Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,t5,r6,t6,r7,t7,r8,t8
20155428,2022:02:24,목,10:01:34 AM,version=0.1,Test,0,3,16,8,0.001458401,176.1321,0.001983263,176.1321,0.001351682,176.1321,0.001740919,178.7866,0.001175151,178.7866,0.002858018,178.7866,0.0691577,2.916516,0.08659642,2.916516
20155428,2022:02:24,목,10:03:57 AM,version=0.1,Test,0,3,16,8,0.001824726,179.2426,0.00194101,179.2426,0.002596856,179.2426,0.004564346,177.8124,0.004369472,177.8124,0.005510134,177.8124,0.0784594,2.940114,0.07073908,2.940114
20155428,2022:02:24,목,10:05:32 AM,version=0.1,Test,0,3,16,8,0.003131607,179.1781,0.002419458,179.1781,0.003869607,179.1781,0.002283504,178.5676,0.002844162,178.5676,0.001954652,178.5676,0.06720391,1.844405,0.08615155,1.844405
20182033,2022:02:24,목,11:04:46 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20182033,2022:02:24,목,11:18:56 AM,version=0.1,Test,0,3,16,8,0.002501755,178.8416,0.003509767,178.8416,0.00167187,178.8416,0.009374722,178.4866,0.01092738,178.4866,0.008458757,178.4866,0.08167296,0.8035691,0.07337538,0.8035691
20182033,2022:02:24,목,11:21:09 AM,version=0.1,Test,0,3,16,8,0.003779132,178.7362,0.004886522,178.7362,0.003000316,178.7362,0.002493207,177.2439,0.005272709,177.2439,0.000553563,177.2439,0.06570137,3.605815,0.09146972,3.605815
20182033,2022:02:24,목,11:22:14 AM,version=0.1,Test,0,3,16,8,0.00316035,179.6179,0.003951087,179.6179,0.002437169,179.6179,0.003427006,178.6495,0.004500084,178.6495,0.00237772,178.6495,0.06848121,1.365444,0.08392414,1.365444
20182033,2022:02:24,목,11:23:52 AM,version=0.1,Test,0,3,16,8,0.005385237,178.7746,0.00404113,178.7746,0.007512617,178.7746,0.005225936,177.7442,0.004756867,177.7442,0.005813653,177.7442,0.07352923,1.083901,0.080525,1.083901
20182033,2022:02:24,목,11:25:44 AM,version=0.1,Test,0,3,16,8,0.001457869,178.9297,0.000863933,178.9297,0.002107852,178.9297,0.002638766,178.8562,0.002531691,178.8562,0.002746798,178.8562,0.07646065,0.07401875,0.07574948,0.07401875
20215578,2022:02:24,목,12:14:50 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20215578,2022:02:24,목,12:18:52 PM,version=0.1,Test,0,3,16,7,0.003565421,175.0765,0.005919919,175.0765,0.002666193,175.0765,0.003343465,178.1221,0.004956581,178.1221,0.002122878,178.1221,0.04312478,6.725637,,
20215578,2022:02:24,목,12:19:43 PM,version=0.1,Test,0,3,16,8,0.003859864,179.4995,0.003526184,179.4995,0.004204631,179.4995,0.007894859,176.4864,0.008076051,176.4864,0.0077184,176.4864,0.05859349,4.012638,0.09549035,4.012638
