Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4
20215578,2022:02:25,금,12:32:45 PM,version=0.1,Test,0,5,10,4,0.00068668,178.4744,0.000626805,178.1155,0.001074971,179.317,0.000927465,178.4221
20215578,2022:02:25,금,12:33:33 PM,version=0.1,Test,0,5,10,4,0.0002655,177.5423,0.001877702,178.7477,0.000459335,177.9327,0.000588777,179.6749
20215578,2022:02:25,금,12:34:16 PM,version=0.1,Test,0,5,10,4,0.000618964,179.0934,0.000499767,179.6417,0.001008422,179.8673,0.000955686,178.1586
20215578,2022:02:25,금,12:36:10 PM,version=0.1,Test,0,5,10,4,0.001065473,179.4308,0.001039856,178.4447,0.001851657,178.5146,0.00063457,178.6273
20155428,2022:02:25,금,1:34:58 PM,version=0.1,Test,,Start,,,,,,,,,,
20155428,2022:02:25,금,1:35:51 PM,version=0.1,Test,0,5,10,4,0.000704455,179.163,0.000973821,179.1731,0.000272357,179.5236,0.000834003,179.559
20155428,2022:02:25,금,1:36:40 PM,version=0.1,Test,0,5,10,4,0.000529607,179.0022,0.000469946,179.2415,0.000719819,179.3729,0.000806837,178.9338
20155428,2022:02:25,금,1:37:25 PM,version=0.1,Test,0,5,10,4,0.000421308,177.8425,0.000634194,178.5222,0.001527917,179.3484,0.000628092,179.926
20155428,2022:02:25,금,1:38:12 PM,version=0.1,Test,0,5,10,4,0.000565059,179.1547,0.000172817,179.1996,0.00059839,179.8481,0.000598689,179.0971
20155428,2022:02:25,금,1:38:47 PM,version=0.1,Test,0,5,10,4,0.000365659,178.6721,0.000189977,179.3265,0.001051053,179.7762,0.000470068,179.8253
20155428,2022:02:25,금,1:39:23 PM,version=0.1,Test,0,5,10,4,0.001034264,179.7916,0.001031668,179.8253,0.000913922,178.2874,0.000400696,178.7339
20192017,2022:02:25,금,2:13:11 PM,version=0.1,Test,,Start,,,,,,,,,,
20192017,2022:02:25,금,2:14:37 PM,version=0.1,Test,0,5,10,4,0.003611232,178.6743,0.001854446,179.4922,0.001579247,179.5051,0.002540154,178.9411
20192017,2022:02:25,금,2:15:02 PM,version=0.1,Test,0,5,10,4,0.001497524,179.8393,0.005471798,179.2511,0.003571871,179.2451,0.001327588,179.2191
20192017,2022:02:25,금,2:15:43 PM,version=0.1,Test,0,5,10,4,0.001849276,179.5047,0.002566943,179.8916,0.004957226,179.6083,0.003362276,178.2004
20192017,2022:02:25,금,2:16:12 PM,version=0.1,Test,0,5,10,4,0.004942992,178.4162,0.002841833,179.9209,0.003967506,179.8718,0.001032546,179.1891
20192017,2022:02:25,금,2:16:35 PM,version=0.1,Test,0,5,10,4,0.004354181,178.6793,0.005597276,178.5708,0.001380439,179.6708,0.000708415,177.8034
20192017,2022:02:25,금,2:17:14 PM,version=0.1,Test,0,5,10,4,0.002740435,177.5121,0.003850534,178.2889,0.001376521,179.8113,0.001035275,179.8546
20192001,2022:02:25,금,2:57:26 PM,version=0.1,Test,,Start,,,,,,,,,,
20192001,2022:02:25,금,2:58:08 PM,version=0.1,Test,0,5,10,4,0.000632204,178.3005,0.00036133,177.9552,0.000301648,179.5035,0.000520337,179.4637
20192001,2022:02:25,금,2:58:43 PM,version=0.1,Test,0,5,10,4,0.001250486,178.5515,0.000678535,179.5437,0.000962987,179.5066,0.000336092,178.4315
20192001,2022:02:25,금,2:59:41 PM,version=0.1,Test,0,5,10,4,0.001068669,179.5331,0.000173138,179.5361,0.000630642,179.852,0.000489125,178.103
20192001,2022:02:25,금,3:00:21 PM,version=0.1,Test,0,5,10,4,0.00056627,178.4444,0.000585532,179.042,0.000371023,179.0721,0.000181549,178.9338
20192001,2022:02:25,금,3:01:02 PM,version=0.1,Test,0,5,10,4,0.000619476,179.9287,0.000672679,178.9696,0.000579535,179.3517,0.000522254,178.025
20192001,2022:02:25,금,3:01:37 PM,version=0.1,Test,0,5,10,4,0.0009405,178.1174,0.000571862,178.9363,0.000452005,178.5244,0.000747372,179.172
